TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,Product Name,StoreName,GroupStore,Type,Latitude,Longitude
TR21783,78,03/01/2022,P5,4200,5,21000,10,41.0,1.0,Married,"10,34",Thai Tea,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR25759,218,03/01/2022,P5,4200,4,16800,14,29.0,0.0,Married,"3,52",Thai Tea,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR26782,237,03/01/2022,P10,15000,4,60000,7,35.0,1.0,Married,"8,14",Cheese Stick,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR27698,178,03/01/2022,P6,18000,3,54000,8,43.0,0.0,Married,"9,58",Cashew,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR31585,144,03/01/2022,P2,3200,3,9600,6,34.0,0.0,Married,"10,01",Ginger Candy ,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR36491,117,03/01/2022,P3,7500,4,30000,12,45.0,1.0,Married,"12,55",Crackers,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR36846,159,03/01/2022,P9,10000,2,20000,7,53.0,1.0,Married,"13,65",Yoghurt,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR40890,224,03/01/2022,P6,18000,3,54000,14,29.0,0.0,Married,"3,31",Cashew,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR45933,406,03/01/2022,P4,12000,2,24000,8,38.0,1.0,Married,"8,64",Potato Chip,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR45980,7,03/01/2022,P3,7500,3,22500,7,31.0,0.0,Married,"4,57",Crackers,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR46171,21,03/01/2022,P10,15000,3,45000,10,52.0,0.0,Married,"12,72",Cheese Stick,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR54686,106,03/01/2022,P2,3200,5,16000,10,24.0,0.0,Single,"6,79",Ginger Candy ,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR74189,202,03/01/2022,P7,9400,3,28200,10,28.0,0.0,Married,"4,53",Coffee Candy,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR86483,45,03/01/2022,P8,16000,3,48000,12,53.0,0.0,Married,"9,25",Oat,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR9341,202,03/01/2022,P7,9400,5,47000,14,28.0,0.0,Married,"4,53",Coffee Candy,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR14593,311,04/01/2022,P6,18000,4,72000,9,61.0,1.0,Married,"7,64",Cashew,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR14970,136,04/01/2022,P10,15000,1,15000,6,28.0,1.0,Married,"2,96",Cheese Stick,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR2102,23,04/01/2022,P5,4200,4,16800,14,57.0,1.0,Married,"12,56",Thai Tea,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR22313,194,04/01/2022,P2,3200,4,12800,2,31.0,1.0,Married,"4,33",Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR37381,243,04/01/2022,P10,15000,2,30000,7,38.0,0.0,Married,"3,34",Cheese Stick,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR41140,78,04/01/2022,P9,10000,2,20000,14,41.0,1.0,Married,"10,34",Yoghurt,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR45300,351,04/01/2022,P6,18000,4,72000,11,45.0,1.0,Married,"18,34",Cashew,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR48461,117,04/01/2022,P5,4200,2,8400,1,45.0,1.0,Married,"12,55",Thai Tea,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR49210,189,04/01/2022,P4,12000,1,12000,7,59.0,1.0,Single,"5,15",Potato Chip,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR50516,304,04/01/2022,P10,15000,2,30000,1,34.0,0.0,Single,"8,55",Cheese Stick,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR51256,433,04/01/2022,P9,10000,1,10000,4,48.0,1.0,Married,"11,97",Yoghurt,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR57427,157,04/01/2022,P5,4200,3,12600,5,44.0,0.0,Single,"2,52",Thai Tea,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR64821,117,04/01/2022,P3,7500,1,7500,2,45.0,1.0,Married,"12,55",Crackers,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR68280,36,04/01/2022,P8,16000,1,16000,12,32.0,1.0,Married,"10,4",Oat,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR86686,403,04/01/2022,P5,4200,2,8400,1,30.0,0.0,Married,"4,06",Thai Tea,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR88044,62,04/01/2022,P5,4200,5,21000,1,51.0,1.0,Married,"13,62",Thai Tea,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR90452,440,04/01/2022,P2,3200,5,16000,11,40.0,0.0,Married,"3,47",Ginger Candy ,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR98969,355,04/01/2022,P8,16000,1,16000,4,19.0,1.0,Single,0,Oat,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR10602,22,05/01/2022,P5,4200,3,12600,11,34.0,0.0,Single,"9,91",Thai Tea,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR24114,182,05/01/2022,P8,16000,1,16000,4,44.0,1.0,Married,"14,57",Oat,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR35280,167,05/01/2022,P9,10000,1,10000,2,28.0,1.0,Married,"2,91",Yoghurt,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR36079,297,05/01/2022,P5,4200,4,16800,11,41.0,1.0,Married,"12,13",Thai Tea,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR43714,416,05/01/2022,P7,9400,2,18800,13,,,,,Coffee Candy,Buana,Buana,General Trade,"-1,26916","116,825264"
TR46041,7,05/01/2022,P9,10000,5,50000,8,31.0,0.0,Married,"4,57",Yoghurt,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR60242,304,05/01/2022,P4,12000,1,12000,13,34.0,0.0,Single,"8,55",Potato Chip,Buana,Buana,General Trade,"-1,26916","116,825264"
TR61100,278,05/01/2022,P8,16000,2,32000,2,31.0,1.0,Married,"9,76",Oat,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR61437,123,05/01/2022,P1,8800,4,35200,6,34.0,0.0,Married,"4,36",Choco Bar,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR84132,22,05/01/2022,P9,10000,7,70000,14,34.0,0.0,Single,"9,91",Yoghurt,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR11638,67,06/01/2022,P2,3200,5,16000,12,19.0,0.0,Single,0,Ginger Candy ,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR20374,282,06/01/2022,P2,3200,5,16000,3,55.0,0.0,Married,"11,38",Ginger Candy ,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR23183,84,06/01/2022,P4,12000,4,48000,9,54.0,0.0,Married,"18,12",Potato Chip,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR24126,30,06/01/2022,P2,3200,3,9600,3,37.0,1.0,Single,"2,26",Ginger Candy ,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR32850,306,06/01/2022,P2,3200,3,9600,6,49.0,0.0,Married,"16,52",Ginger Candy ,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR40523,176,06/01/2022,P3,7500,4,30000,2,54.0,1.0,Married,"18,32",Crackers,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR41572,366,06/01/2022,P6,18000,3,54000,3,18.0,0.0,Single,0,Cashew,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR45142,438,06/01/2022,P10,15000,4,60000,10,36.0,1.0,Single,"5,43",Cheese Stick,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR73860,71,06/01/2022,P4,12000,4,48000,1,46.0,0.0,Married,"12,42",Potato Chip,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR74469,340,06/01/2022,P5,4200,4,16800,4,41.0,0.0,Single,"10,9",Thai Tea,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR77963,116,06/01/2022,P3,7500,2,15000,7,51.0,1.0,Married,"15,77",Crackers,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR81478,20,06/01/2022,P5,4200,4,16800,8,43.0,0.0,Married,"18,91",Thai Tea,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR83042,102,06/01/2022,P2,3200,6,19200,10,39.0,0.0,Married,"6,44",Ginger Candy ,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR87914,161,06/01/2022,P5,4200,4,16800,9,41.0,0.0,Married,"20,02",Thai Tea,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR92298,266,06/01/2022,P2,3200,6,19200,2,72.0,1.0,Married,"4,72",Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR95272,84,06/01/2022,P7,9400,3,28200,8,54.0,0.0,Married,"18,12",Coffee Candy,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR96723,240,06/01/2022,P5,4200,4,16800,14,22.0,1.0,Single,"3,33",Thai Tea,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR97562,264,06/01/2022,P5,4200,3,12600,14,21.0,1.0,Single,"1,12",Thai Tea,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR22660,43,07/01/2022,P5,4200,3,12600,13,53.0,0.0,Married,"16,64",Thai Tea,Buana,Buana,General Trade,"-1,26916","116,825264"
TR23169,189,07/01/2022,P1,8800,7,61600,7,59.0,1.0,Single,"5,15",Choco Bar,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR28506,230,07/01/2022,P9,10000,3,30000,12,40.0,1.0,Married,"4,32",Yoghurt,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR31932,70,07/01/2022,P9,10000,4,40000,7,30.0,1.0,Married,"4,42",Yoghurt,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR38873,311,07/01/2022,P2,3200,6,19200,5,61.0,1.0,Married,"7,64",Ginger Candy ,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR43744,233,07/01/2022,P2,3200,6,19200,8,43.0,1.0,Married,"5,69",Ginger Candy ,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR60853,74,07/01/2022,P2,3200,3,9600,6,3.0,1.0,Married,"5,09",Ginger Candy ,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR73336,399,07/01/2022,P8,16000,3,48000,10,52.0,1.0,Single,"33,77",Oat,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR74427,43,07/01/2022,P8,16000,2,32000,3,53.0,0.0,Married,"16,64",Oat,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR23772,156,08/01/2022,P10,15000,1,15000,1,44.0,0.0,Married,"3,87",Cheese Stick,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR36287,157,08/01/2022,P7,9400,2,18800,2,44.0,0.0,Single,"2,52",Coffee Candy,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR40790,134,08/01/2022,P7,9400,4,37600,8,50.0,0.0,Married,"18,62",Coffee Candy,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR4331,335,08/01/2022,P3,7500,3,22500,12,29.0,1.0,Single,"4,74",Crackers,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR43444,240,08/01/2022,P4,12000,5,60000,2,22.0,1.0,Single,"3,33",Potato Chip,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR55617,9,08/01/2022,P7,9400,5,47000,9,33.0,0.0,Married,"9,92",Coffee Candy,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR57273,344,08/01/2022,P4,12000,1,12000,10,47.0,1.0,Married,"5,63",Potato Chip,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR648,164,08/01/2022,P5,4200,3,12600,5,18.0,1.0,Single,0,Thai Tea,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR65337,12,08/01/2022,P5,4200,3,12600,3,2.0,1.0,Married,"4,94",Thai Tea,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR6602,211,08/01/2022,P8,16000,2,32000,5,29.0,0.0,Married,"3,54",Oat,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR67501,85,08/01/2022,P4,12000,3,36000,13,59.0,1.0,Married,"7,89",Potato Chip,Buana,Buana,General Trade,"-1,26916","116,825264"
TR70157,415,08/01/2022,P8,16000,2,32000,4,44.0,0.0,Married,"18,57",Oat,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR84962,55,08/01/2022,P3,7500,5,37500,7,34.0,1.0,Married,"8,44",Crackers,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR89167,69,08/01/2022,P1,8800,5,44000,10,26.0,0.0,Single,"2,84",Choco Bar,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR90471,162,08/01/2022,P3,7500,3,22500,3,49.0,0.0,Married,"11,46",Crackers,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR14091,307,09/01/2022,P1,8800,5,44000,11,31.0,0.0,Married,"5,22",Choco Bar,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR28270,140,09/01/2022,P2,3200,7,22400,3,54.0,0.0,Married,"9,57",Ginger Candy ,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR48974,170,09/01/2022,P10,15000,1,15000,9,36.0,0.0,Married,"7,55",Cheese Stick,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR52493,354,09/01/2022,P8,16000,1,16000,11,53.0,1.0,Married,"16,94",Oat,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR52613,135,09/01/2022,P5,4200,3,12600,9,41.0,0.0,Married,"3,28",Thai Tea,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR53447,137,09/01/2022,P2,3200,4,12800,5,34.0,1.0,Married,"6,36",Ginger Candy ,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR5513,62,09/01/2022,P4,12000,4,48000,2,51.0,1.0,Married,"13,62",Potato Chip,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR76965,241,09/01/2022,P1,8800,8,70400,3,24.0,1.0,Single,"0,57",Choco Bar,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR80326,269,09/01/2022,P8,16000,1,16000,2,39.0,1.0,Married,"6,3",Oat,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR858,340,09/01/2022,P8,16000,2,32000,14,41.0,0.0,Single,"10,9",Oat,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR8878,415,09/01/2022,P5,4200,3,12600,9,44.0,0.0,Married,"18,57",Thai Tea,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR89449,178,09/01/2022,P5,4200,2,8400,11,43.0,0.0,Married,"9,58",Thai Tea,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR91332,385,09/01/2022,P9,10000,1,10000,10,41.0,1.0,Married,"15,84",Yoghurt,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR91669,241,09/01/2022,P5,4200,5,21000,2,24.0,1.0,Single,"0,57",Thai Tea,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR3291,13,10/01/2022,P4,12000,5,60000,14,23.0,0.0,Single,"2,03",Potato Chip,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR45059,17,10/01/2022,P1,8800,6,52800,9,35.0,0.0,Married,"3,14",Choco Bar,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR47932,122,10/01/2022,P7,9400,3,28200,7,26.0,1.0,Single,"0,14",Coffee Candy,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR57616,446,10/01/2022,P1,8800,7,61600,2,57.0,0.0,Married,"7,81",Choco Bar,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR59952,321,10/01/2022,P4,12000,5,60000,14,45.0,0.0,Married,"8,03",Potato Chip,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR6445,181,10/01/2022,P3,7500,4,30000,12,33.0,1.0,Married,"9,94",Crackers,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR69307,23,10/01/2022,P8,16000,1,16000,1,57.0,1.0,Married,"12,56",Oat,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR69902,108,10/01/2022,P7,9400,2,18800,9,25.0,0.0,Single,"6,87",Coffee Candy,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR7250,49,10/01/2022,P1,8800,7,61600,11,44.0,1.0,Married,"13,48",Choco Bar,Sinar Harapan,Prestasi,General Trade,"0,533505","101,447403"
TR77811,329,10/01/2022,P10,15000,2,30000,4,19.0,1.0,Single,0,Cheese Stick,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR80374,223,10/01/2022,P8,16000,3,48000,10,62.0,1.0,Single,"5,35",Oat,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR82224,246,10/01/2022,P2,3200,3,9600,12,40.0,1.0,Single,"21,81",Ginger Candy ,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR8236,249,10/01/2022,P2,3200,6,19200,7,47.0,0.0,Married,"13,34",Ginger Candy ,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR8369,64,10/01/2022,P3,7500,1,7500,4,48.0,1.0,Married,"7,92",Crackers,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR86436,26,10/01/2022,P10,15000,1,15000,14,45.0,1.0,Married,"7,83",Cheese Stick,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR88217,442,10/01/2022,P9,10000,1,10000,8,42.0,1.0,Married,"14,88",Yoghurt,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR95284,229,10/01/2022,P2,3200,3,9600,2,32.0,0.0,Married,"10,17",Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR18566,8,11/01/2022,P3,7500,3,22500,8,37.0,1.0,Married,"5,49",Crackers,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR23232,168,11/01/2022,P2,3200,6,19200,1,27.0,0.0,Married,"4,88",Ginger Candy ,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR36166,256,11/01/2022,P10,15000,5,75000,12,56.0,0.0,Married,"7,09",Cheese Stick,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR36685,196,11/01/2022,P2,3200,6,19200,2,34.0,0.0,Married,"3,17",Ginger Candy ,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR40960,394,11/01/2022,P6,18000,1,18000,4,50.0,0.0,Married,"7,19",Cashew,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR47732,329,11/01/2022,P2,3200,6,19200,4,19.0,1.0,Single,0,Ginger Candy ,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR57918,72,11/01/2022,P4,12000,5,60000,6,26.0,0.0,Single,"1,81",Potato Chip,Lingga,Lingga,Modern Trade,"-5,135399","119,42379"
TR59286,278,11/01/2022,P7,9400,6,56400,8,31.0,1.0,Married,"9,76",Coffee Candy,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR63021,393,11/01/2022,P8,16000,1,16000,12,22.0,0.0,Single,0,Oat,Prestasi Utama,Prestasi,General Trade,"-2,990934","104,756554"
TR64748,232,11/01/2022,P5,4200,4,16800,9,62.0,0.0,Married,"7,32",Thai Tea,Lingga,Lingga,Modern Trade,"-3,654703","128,190643"
TR6627,339,11/01/2022,P9,10000,6,60000,10,22.0,0.0,Single,"2,19",Yoghurt,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR71791,295,11/01/2022,P7,9400,5,47000,3,34.0,0.0,Married,"4,78",Coffee Candy,Prima Kota,Prima,Modern Trade,"-7,797068","110,370529"
TR75052,151,11/01/2022,P3,7500,1,7500,2,42.0,0.0,Married,"10,38",Crackers,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR76046,16,11/01/2022,P8,16000,2,32000,1,52.0,0.0,Married,"11,8",Oat,Prima Tendean,Prima,Modern Trade,"-6,2","106,816666"
TR84499,312,11/01/2022,P3,7500,3,22500,2,54.0,0.0,Married,"18,77",Crackers,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR85582,145,11/01/2022,P5,4200,4,16800,14,37.0,0.0,Single,"14,59",Thai Tea,Priangan,Priangan,Modern Trade,"-5,45","105,26667"
TR93692,244,11/01/2022,P5,4200,5,21000,10,21.0,1.0,Single,"3,64",Thai Tea,Harapan Baru,Harapan Baru,General Trade,"3,597031","98,678513"
TR94450,213,11/01/2022,P3,7500,6,45000,4,24.0,1.0,Single,"5,72",Crackers,Gita Ginara,Gita,General Trade,"-6,966667","110,416664"
TR24515,347,12/01/2022,P10,15000,2,30000,7,26.0,1.0,Single,"3,69",Cheese Stick,Buana Indah,Buana,General Trade,"3,316694","114,590111"
TR24817,287,12/01/2022,P3,7500,1,7500,8,36.0,0.0,Single,"3,7",Crackers,Sinar Harapan,Harapan Baru,General Trade,"5,54829","95,323753"
TR25833,135,12/01/2022,P2,3200,4,12800,5,41.0,0.0,Married,"3,28",Ginger Candy ,Bonafid,Gita,General Trade,"-7,250445","112,768845"
TR28633,201,12/01/2022,P9,10000,6,60000,2,57.0,0.0,Married,"6,87",Yoghurt,Prima Kelapa Dua,Prima,Modern Trade,"-6,914864","107,608238"
TR39671,52,12/01/2022,P10,15000,2,30000,7,37.0,0.0,Married,"3,73",Cheese Stick,Buana Indah,Buana,General Trade,"3,316694","114,590111"
